Data,Data1,D
1.802500e+04,-5.60e+01,
1.805000e+04,-8.08e+01,
1.807500e+04,-6.56e+01,
1.810000e+04,-7.12e+01,
1.812500e+04,-6.48e+01,
1.815000e+04,-5.76e+01,
1.817500e+04,-7.04e+01,
1.820000e+04,-6.48e+01,
1.822500e+04,-7.12e+01,
1.825000e+04,-6.16e+01,
1.827500e+04,-7.68e+01,
1.830000e+04,-7.12e+01,
1.832500e+04,-8.00e+01,
1.835000e+04,-6.80e+01,
1.837500e+04,-6.32e+01,
1.840000e+04,-7.60e+01,
1.842500e+04,-6.96e+01,
1.845000e+04,-7.28e+01,
1.847500e+04,-7.04e+01,
1.850000e+04,-7.20e+01,
1.852500e+04,-6.96e+01,
1.855000e+04,-7.04e+01,
1.857500e+04,-6.88e+01,
1.860000e+04,-6.40e+01,
1.862500e+04,-6.56e+01,
1.865000e+04,-6.56e+01,
1.867500e+04,-6.88e+01,
1.870000e+04,-6.16e+01,
1.872500e+04,-7.28e+01,
1.875000e+04,-8.08e+01,
1.877500e+04,-6.08e+01,
1.880000e+04,-7.28e+01,
1.882500e+04,-7.12e+01,
1.885000e+04,-6.08e+01,
1.887500e+04,-6.56e+01,
1.890000e+04,-6.56e+01,
1.892500e+04,-6.48e+01,
1.895000e+04,-6.48e+01,
1.897500e+04,-7.60e+01,
1.900000e+04,-7.04e+01,
1.902500e+04,-6.56e+01,
1.905000e+04,-6.56e+01,
1.907500e+04,-6.32e+01,
1.910000e+04,-6.72e+01,
1.912500e+04,-6.40e+01,
1.915000e+04,-6.88e+01,
1.917500e+04,-7.28e+01,
1.920000e+04,-6.40e+01,
1.922500e+04,-6.72e+01,
1.925000e+04,-6.00e+01,
1.927500e+04,-6.08e+01,
1.930000e+04,-6.88e+01,
1.932500e+04,-7.12e+01,
1.935000e+04,-6.88e+01,
1.937500e+04,-7.28e+01,
1.940000e+04,-5.84e+01,
1.942500e+04,-6.72e+01,
1.945000e+04,-6.56e+01,
1.947500e+04,-6.08e+01,
1.950000e+04,-6.80e+01,
1.952500e+04,-6.08e+01,
1.955000e+04,-6.16e+01,
1.957500e+04,-6.96e+01,
1.960000e+04,-8.32e+01,
1.962500e+04,-6.88e+01,
1.965000e+04,-6.24e+01,
1.967500e+04,-6.48e+01,
1.970000e+04,-6.48e+01,
1.972500e+04,-6.56e+01,
1.975000e+04,-7.92e+01,
1.977500e+04,-6.32e+01,
1.980000e+04,-6.88e+01,
1.982500e+04,-7.04e+01,
1.985000e+04,-6.24e+01,
1.987500e+04,-6.96e+01,
1.990000e+04,-6.56e+01,
1.992500e+04,-6.24e+01,
1.995000e+04,-7.12e+01,
1.997500e+04,-7.84e+01,
2.000000e+04,-6.40e+01,
2.002500e+04,-6.48e+01,
2.005000e+04,-6.64e+01,
2.007500e+04,-8.00e+01,
2.010000e+04,-6.16e+01,
2.012500e+04,-6.88e+01,
2.015000e+04,-6.16e+01,
2.017500e+04,-6.64e+01,
2.020000e+04,-6.80e+01,
2.022500e+04,-6.48e+01,
2.025000e+04,-6.88e+01,
2.027500e+04,-6.08e+01,
2.030000e+04,-6.48e+01,
2.032500e+04,-6.48e+01,
2.035000e+04,-7.20e+01,
2.037500e+04,-6.16e+01,
2.040000e+04,-7.04e+01,
2.042500e+04,-6.16e+01,
2.045000e+04,-6.24e+01,
2.047500e+04,-7.12e+01,
